BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Ecotype	Collection_date	use_species
PRJNA477377	SRR7411955	WGS	300	5048430900	SAMN09469404	2300193566	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283513	Illumina HiSeq 4000	Ptym_9_lib	PAIRED	RANDOM	GENOMIC	Pungitius_tymensis	ILLUMINA	2018-09-01T00:00:00Z	P.tym_Mon_9	SRP151119	Model organism or animal	female	right pectoral fin	9	adult	Monshizu_pond	2016-11-03	0
PRJNA477377	SRR7411956	WGS	300	2712858900	SAMN09469424	1234603130	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283512	Illumina HiSeq 4000	Ptym_24_lib	PAIRED	RANDOM	GENOMIC	Pungitius_tymensis	ILLUMINA	2018-09-01T00:00:00Z	P.tym_Mon_24	SRP151119	Model organism or animal	male	right pectoral fin	24	adult	Monshizu_pond	2016-11-03	0
PRJNA477377	SRR7411957	WGS	300	3943295100	SAMN09469413	1783235668	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283511	Illumina HiSeq 4000	Ptym_3_lib	PAIRED	RANDOM	GENOMIC	Pungitius_tymensis	ILLUMINA	2018-09-01T00:00:00Z	P.tym_Mon_3	SRP151119	Model organism or animal	male	right pectoral fin	3	adult	Monshizu_pond	2016-11-03	0
PRJNA477377	SRR7411959	WGS	300	6063692700	SAMN09469425	2675445008	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283509	Illumina HiSeq 4000	Ptym_25_lib	PAIRED	RANDOM	GENOMIC	Pungitius_tymensis	ILLUMINA	2018-09-01T00:00:00Z	P.tym_Mon_25	SRP151119	Model organism or animal	male	right pectoral fin	25	adult	Monshizu_pond	2016-11-03	0
PRJNA477377	SRR7411960	WGS	300	2873438700	SAMN09469401	1296706719	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283508	Illumina HiSeq 4000	Ptym_5_lib	PAIRED	RANDOM	GENOMIC	Pungitius_tymensis	ILLUMINA	2018-09-01T00:00:00Z	P.tym_Mon_5	SRP151119	Model organism or animal	female	right pectoral fin	5	adult	Monshizu_pond	2016-11-03	0
PRJNA477377	SRR7411961	WGS	300	2224176300	SAMN09469414	987878696	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283507	Illumina HiSeq 4000	Ptym_8_lib	PAIRED	RANDOM	GENOMIC	Pungitius_tymensis	ILLUMINA	2018-09-01T00:00:00Z	P.tym_Mon_8	SRP151119	Model organism or animal	male	right pectoral fin	8	adult	Monshizu_pond	2016-11-03	0
PRJNA477377	SRR7411962	WGS	300	8061867900	SAMN09469396	3701988562	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283506	Illumina HiSeq 4000	Psin_18_lib	PAIRED	RANDOM	GENOMIC	Pungitius_sinensis	ILLUMINA	2018-09-01T00:00:00Z	2017_Yuza_Psin_18	SRP151119	Model organism or animal	male	right pectoral fin	18	adult	Yuza_Hatsume_River	2017-05-15	0
PRJNA477377	SRR7411963	WGS	300	7698203100	SAMN09469395	3503189622	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283505	Illumina HiSeq 4000	Psin_17_lib	PAIRED	RANDOM	GENOMIC	Pungitius_sinensis	ILLUMINA	2018-09-01T00:00:00Z	2016_Yuza_Psin_17	SRP151119	Model organism or animal	male	right pectoral fin	17	adult	Yuza_Hatsume_River	2016-08-12	0
PRJNA477377	SRR7411964	WGS	300	3446181000	SAMN09469409	1575281862	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283504	Illumina HiSeq 4000	Ptym_22_lib	PAIRED	RANDOM	GENOMIC	Pungitius_tymensis	ILLUMINA	2018-09-01T00:00:00Z	P.tym_Mon_22	SRP151119	Model organism or animal	female	right pectoral fin	22	adult	Monshizu_pond	2016-11-03	0
PRJNA477377	SRR7411965	WGS	300	1715516100	SAMN09469402	767307691	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283503	Illumina HiSeq 4000	Ptym_6_lib	PAIRED	RANDOM	GENOMIC	Pungitius_tymensis	ILLUMINA	2018-09-01T00:00:00Z	P.tym_Mon_6	SRP151119	Model organism or animal	female	right pectoral fin	6	adult	Monshizu_pond	2016-11-03	0
